,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
194,3894329,112336,0.0,3781993.0,6956.991417934445,2.884604767599245
195,3895920,112339,0.0,3783581.0,6959.833646556098,2.8835037680445184
196,3897815,112342,0.0,3785473.0,6963.21895343104,2.882178861746902
197,3899813,112355,0.0,3787458.0,6966.788263793116,2.881035577859759
198,3902160,112363,0.0,3789797.0,6970.981042281501,2.879507759804826
199,3904934,112371,0.0,3792563.0,6975.936631342761,2.87766707452674
200,3908214,112379,0.0,3795835.0,6981.796159865088,2.875456666395443
201,3910803,112385,0.0,3798418.0,6986.421257226157,2.8737064996626014
202,3913295,112391,0.0,3800904.0,6990.873069749827,2.8720298367488266
203,3916049,112391,0.0,3803658.0,6995.792929978634,2.870010053500352
204,3918522,112391,0.0,3806131.0,7000.210800111474,2.868198774946268
205,3921939,112402,0.0,3809537.0,7006.315071136105,2.8659803224884426
206,3926154,112415,0.0,3813739.0,7013.84492257562,2.863234605672625
207,3931158,112424,0.0,3818734.0,7022.784276455414,2.8598189134092293
208,3935854,112436,0.0,3823418.0,7031.173406315428,2.856711656479128
209,3940141,112440,0.0,3827701.0,7038.831881551775,2.853704981623754
210,3944955,112440,0.0,3832515.0,7047.431811523263,2.850222626113606
211,3950123,112453,0.0,3837670.0,7056.664141829173,2.846822744506943
212,3956096,112458,0.0,3843638.0,7067.334557641326,2.842650936681011
213,3962371,112463,0.0,3849908.0,7078.544478823521,2.8382753659362034
214,3968986,112479,0.0,3856507.0,7090.361790157422,2.833948015941603
215,3975399,112489,0.0,3862910.0,7101.818240283544,2.829627919109503
216,3981497,112496,0.0,3869001.0,7112.711961298529,2.8254699174707403
217,3988008,112499,0.0,3875509.0,7124.343482703673,2.820932154599489
218,3994408,112507,0.0,3881901.0,7135.7767090887,2.81661262444898
219,4001803,112515,0.0,3889288.0,7148.987444888276,2.8116076678437194
220,4010977,112530,0.0,3898447.0,7165.376260334565,2.805550867033144
221,4019956,112539,0.0,3907417.0,7181.416719664435,2.799508253324165
222,4028664,112551,0.0,3916113.0,7196.973053314564,2.7937549520138685
223,4036230,112557,0.0,3923673.0,7210.489270631614,2.788666651801309
224,4044830,112562,0.0,3932268.0,7225.852668586496,2.782861084396625
225,4053782,112585,0.0,3941197.0,7241.844893992554,2.7772830408739297
226,4066294,112598,0.0,3953696.0,7264.196851575284,2.769057033259277
227,4079362,112614,0.0,3966748.0,7287.542070700214,2.7605787375574904
228,4092346,112629,0.0,3979717.0,7310.73722872884,2.7521866430648827
229,4107155,112649,0.0,3994506.0,7337.192642718821,2.7427501518691164
230,4118462,112658,0.0,4005804.0,7357.391938146246,2.7354386176198786
231,4136940,112661,0.0,4024279.0,7390.401806449769,2.723293062021688
232,4153487,112683,0.0,4040804.0,7419.962055979935,2.712973460612733
233,4174318,112694,0.0,4061624.0,7457.175421421579,2.69969848966945
234,4196833,112710,0.0,4084123.0,7497.397154555783,2.685596496215122
235,4218807,112732,0.0,4106075.0,7536.652422772128,2.672129822482991
236,4239686,112747,0.0,4126939.0,7573.951537411661,2.659324299016484
237,4259710,112762,0.0,4146948.0,7609.7232444638175,2.6471755119479963
238,4282762,112769,0.0,4169993.0,7650.904296749391,2.633090514952734
239,4307618,112799,0.0,4194819.0,7695.308089722244,2.618593385021606
240,4334634,112827,0.0,4221807.0,7743.570596600044,2.602918723933785
241,4362481,112858,0.0,4249623.0,7793.317636466276,2.5870141325543883
242,4393205,112880,0.0,4280325.0,7848.204268880901,2.5694225514174733
243,4422370,112906,0.0,4309464.0,7900.3058388058,2.553065437763009
244,4450372,112931,0.0,4337441.0,7950.329777123543,2.5375631520241453
245,4480518,112937,0.0,4367581.0,8004.183846280272,2.5206237314524795
246,4512957,112982,0.0,4399975.0,8062.13422607776,2.5035026923589125
247,4550298,113018,0.0,4437280.0,8128.841742709532,2.483749415972317
248,4594159,113062,0.0,4481097.0,8207.19685872105,2.4609944932249843
249,4640922,113104,0.0,4527818.0,8290.736228321532,2.4371019379338845
250,4691172,113139,0.0,4578033.0,8380.504919860228,2.41174273720938
251,4735387,113160,0.0,4622227.0,8459.49243620617,2.389667412610627
252,4769632,113175,0.0,4656457.0,8520.669129574184,2.3728245701135853
253,4812460,113257,0.0,4699203.0,8597.178851389494,2.3534117686172977
254,4851264,113320,0.0,4737944.0,8666.499932115219,2.335886070104616
255,4886612,113378,0.0,4773234.0,8729.647070593028,2.320176023797265
256,4918669,113434,0.0,4805235.0,8786.91502969066,2.306192996519993
257,4947127,113508,0.0,4833619.0,8837.753585388336,2.2944226012390625
258,4972040,113534,0.0,4858506.0,8882.25920553368,2.283449047071222
259,4993657,113546,0.0,4880111.0,8920.876714090737,2.273804548450164
260,5013664,113667,0.0,4899997.0,8956.618051635309,2.267144347925988
261,5037630,113740,0.0,4923890.0,8999.431911563994,2.2578077389566125
262,5064671,113807,0.0,4950864.0,9047.73907948236,2.247075871265873
263,5090505,113862,0.0,4976643.0,9093.890012362175,2.23675254223304
264,5114064,113916,0.0,5000148.0,9135.976790550438,2.2275043878997214
265,5135378,113968,0.0,5021410.0,9174.053007295828,2.219271882225612
266,5154292,113985,0.0,5040307.0,9207.841764146831,2.211457946115587
267,5173082,114108,0.0,5058974.0,9241.409002236624,2.2058030396579835
268,5199102,114209,0.0,5084893.0,9287.892213258256,2.196706277353281
269,5225224,114278,,,9334.557641325397,2.1870449955829643
270,5253181,114359,,,9384.50118977012,2.1769476437229174
271,5278675,114447,,,9430.04473249823,2.1681008965318003
272,5302555,114482,,,9472.704958447368,2.158996936382555
273,5324191,114508,,,9511.356409395254,2.1507117231519306
274,5344609,114640,,,9547.83197444674,2.1449651415098843
275,5370904,114731,,,9594.8064569146,2.136158084374623
276,5398629,114812,,,9644.335550902868,2.12668809062449
277,5426971,114898,,,9694.966879372316,2.11716627931124
278,5453294,114981,,,9741.991382205611,2.1084687530142334
279,5475833,115035,,,9782.255989938762,2.100776265455868
280,5498742,115055,,,9823.181581072293,2.0923876770359477
